a	aː
abbadísin	a p a t iː s ɪ n
abbast	a p a s t
adam	aː t a m
adams	aː t a m s
adda	a t a
addi	a t ɪ
adolf	aː t ɔ l v
adolfs	aː t ɔ l s
adrenalínpenna	aː t r ɛ n a l i n pʰ ɛ n a
af	aː v
afa	aː v a
afar	aː v a r
afarnir	aː v a t n ɪ r
afbakar	a v p a k a r
afborgana	a v p ɔ r k a n a
afborganir	a v p ɔ r k a n ɪ r
afborgunum	a v p ɔ r k ʏ n ʏ m
afbragðs	a v p r a ɣ ð s
afbrigði	a v p r ɪ ɣ ð ɪ
afbrigðilegrar	a v p r ɪ ɣ ð ɪ l ɛ ɣ r a r
afbrigðilegt	a v p r ɪ ɣ ð ɪ l ɛ x t
afbrigðum	a v p r ɪ ɣ ð ʏ m
afbrýði	a v p r i ð ɪ
afbrýðin	a v p r i ð ɪ n
afbrýðisemi	a v p r i ð ɪ s ɛː m ɪ
afbrýðisemin	a v p r i ð ɪ s ɛː m ɪ n
afburða	a v p ʏ r ð a
afdrepinu	a v t r ɛ p ɪ n ʏ
afdrepið	a v t r ɛ p ɪ ð
afdrifarík	a v t r ɪ v a r iː k
afdrifaríkar	a v t r ɪ v a r iː k a r
afdrifum	a v t r ɪ v ʏ m
afdráttarlaus	a v t r au h t a r l œyː s
afdráttarlaust	a v t r au h t a r l œy s t
affalls	a f a l s
afferma	a f ɛ r m a
affermingu	a f ɛ r m i ŋ k ʏ
afföll	a f œ t l̥
afföllin	a f œ t l ɪ n
afgana	a v k a n a
afganar	a v k a n a r
afgangateppi	a v k au ŋ k a tʰ ɛ h p ɪ
afganginn	a v k au ɲ c ɪ n
afganginum	a v k au ɲ c ɪ n ʏ m
afgangurinn	a v k au ŋ k ʏ r ɪ n
afganistan	a v k a n ɪ s t a n
afganistans	a v k a n ɪ s t a n s
afganska	a v k a n s k a
afganskra	a v k a n s k r a
afgerandi	a v c ɛ r a n t ɪ
afgirt	a v c ɪ r̥ t
afglöp	a v k l œ p
afgreiddar	a v k r ei t a r
afgreiddi	a v k r ei t ɪ
afgreiðsluna	a v k r ei ð s t l ʏ n a
afgreiðslunni	a v k r ei ð s t l ʏ n ɪ
afgreiðslustelpan	a v k r ei ð s t l ʏ s t ɛ l̥ p a n
afgönsku	a v k œ n s k ʏ
afhenda	aː v h ɛ n t a
afhending	aː v h ɛ n t i ŋ k
afhendingar	aː v h ɛ n t i ŋ k a r
afhendingu	aː v h ɛ n t i ŋ k ʏ
afhendir	aː v h ɛ n t ɪ r
afhent	aː v h ɛ n̥ t
afhenta	aː v h ɛ n̥ t a
afhentan	aː v h ɛ n̥ t a n
afhentar	aː v h ɛ n̥ t a r
afhenti	aː v h ɛ n̥ t ɪ
afhentir	aː v h ɛ n̥ t ɪ r
afhentu	aː v h ɛ n̥ t ʏ
afhentum	aː v h ɛ n̥ t ʏ m
afhentur	aː v h ɛ n̥ t ʏ r
afhjúpar	a f ç u p a r
afhjúpað	a f ç u p a ð
afhjúpaði	a f ç u p a ð ɪ
afhjúpaður	a f ç u p a ð ʏ r
afhjúpun	a f ç u p ʏ n
afhjúpuð	a f ç u p ʏ ð
afhomma	aː f h ɔ m a
afhroð	a f r̥ ɔ ð
afhöggvinn	aː f h œ k v ɪ n
afi	aː v ɪ
afkastar	a v k a s t a r
afklæddi	a v k l ai t ɪ
afklæddist	a v k l ai t ɪ s t
afklæðast	a v k l ai ð a s t
afkoman	a v k ɔ m a n
afkomenda	a v k ɔ m ɛ n t a
afkomendum	a v k ɔ m ɛ n t ʏ m
afkomendur	a v k ɔ m ɛ n t ʏ r
afkomuna	a v k ɔ m ʏ n a
afkróuð	a v k r ou ʏ ð
afkvæmi	a v k v ai m ɪ
afkvæmum	a v k v ai m ʏ m
afkáralega	a v k au r a l ɛ ɣ a
afkáralegum	a v k au r a l ɛ ɣ ʏ m
afköstin	a v k œ s t ɪ n
afköstum	a v k œ s t ʏ m
afl	a p l̥
afla	a p l a
aflagrandi	a p l a k r a n t ɪ
aflahlutdeilda	a p l a l̥ ʏː t ei l t a
aflahlutdeildar	a p l a l̥ ʏː t ei l t a r
aflahlutdeildir	a p l a l̥ ʏː t ei l t ɪ r
aflahlutdeildum	a p l a l̥ ʏː t ei l t ʏ m
aflamarks	a p l a m a r̥ k s
aflann	a p l a n
aflans	a p l a n s
aflanum	a p l a n ʏ m
aflar	a p l a r
aflað	a p l a ð
aflaði	a p l a ð ɪ
afleggjara	a v l ɛ c a r a
afleggjaranum	a v l ɛ c a r a n ʏ m
afleiðing	a v l ei ð i ŋ k
afleiðinga	a v l ei ð i ŋ k a
afleiðingar	a v l ei ð i ŋ k a r
afleiðingarnar	a v l ei ð i ŋ k a t n a r
afleiðingin	a v l ei ð i ɲ c ɪ n
afleiðingum	a v l ei ð i ŋ k ʏ m
afleiðingunum	a v l ei ð i ŋ k ɔ n ʏ m
aflhnefa	a p l n̥ ɛ v a
aflhnefi	a p l n̥ ɛ v ɪ
afli	a p l ɪ
aflinn	a p l ɪ n
afloknu	a v l ɔ h k n ʏ
afloknum	a v l ɔ h k n ʏ m
afls	a p l̥ s
afláts	a v l au t s
aflétt	a v l j ɛ h t
aflétta	a v l j ɛ h t a
aflíðandi	a v l i ð a n t ɪ
aflóga	a v l ou a
afmarkast	a v m a r̥ k a s t
afmarkaða	a v m a r̥ k a ð a
afmyndað	a v m ɪ n t a ð
afmyndaðist	a v m ɪ n t a ð ɪ s t
afmá	a v m au
afmáir	a v m au ɪ r
afmælinu	a m ai l ɪ n ʏ
afmælis	a m ai l ɪ s
afmælisbarns	a m ai l ɪ s p a r̥ s
afmælisins	a m ai l ɪ s ɪ n s
afmælistilkynningum	a m ai l ɪ s t ɪ l c ɪ n i ŋ k ʏ m
afmælið	a m ai l ɪ ð
afmörkun	a v m œ r̥ k ʏ n
afmörkuð	a v m œ r̥ k ʏ ð
afmörkuðu	a v m œ r̥ k ʏ ð ʏ
afneita	a v n ei t a
afneitað	a v n ei t a ð
afneitun	a v n ei t ʏ n
afnot	a v n ɔ t
afnumin	a v n ʏ m ɪ n
afnumið	a v n ʏ m ɪ ð
afnáms	a v n au m s
afoxun	aː f ɔ k s ʏ n
afplána	a v p l au n a
afplánun	a v p l au n ʏ n
afrakstur	a v r a k s t ʏ r
afraksturinn	a v r a k s t ʏ r ɪ n
afrek	a v r ɛ k
afrekað	a v r ɛ k a ð
afreki	a v r ɛ c ɪ
afreksbikar	a v r ɛ x s p ɪː k a r
afreksmaður	a v r ɛ x s m aː ð ʏ r
afreksstig	a v r ɛ x s t ɪː ɣ
afrekum	a v r ɛ k ʏ m
afrifu	a v r ɪ v ʏ
afritunar	a v r ɪ t ʏ n a r
afritunarhnappinn	a v r ɪ t ʏ n a r n̥ a h p ɪ n
afréttarlöndin	a v r j ɛ h t a r l œ n t ɪ n
afréð	a v r j ɛ ð
afréðu	a v r j ɛ ð ʏ
afréðum	a v r j ɛ ð ʏ m
afríka	aː f r i k a
afríkans	aː f r i k a n s
afríska	aː f r i s k a
afrískir	aː f r i s c ɪ r
afrískum	aː f r i s k ʏ m
afsagnar	a f s a k n a r
afsaka	a f s a k a
afsakanirnar	a f s a k a n ɪ t n a r
afsakaðan	a f s a k a ð a n
afsakið	a f s a c ɪ ð
afsalað	a f s a l a ð
afsals	a f s a l s
afsanna	a f s a n a
afskaplega	a f s k a p l ɛ ɣ a
afskekkt	a f s c ɛ x t
afskekkta	a f s c ɛ x t a
afskekktan	a f s c ɛ x t a n
afskekktu	a f s c ɛ x t ʏ
afskekktum	a f s c ɛ x t ʏ m
afskiptasemi	a f s c ɪ f t a s ɛː m ɪ
afskrifta	a v s k r ɪ f t a
afskriftareikning	a v s k r ɪ f t a r ei h k n i ŋ k
afskræmt	a f s k r ai m̥ t
afslappaður	a f s t l a h p a ð ʏ r
afsláttar	a f s t l au h t a r
afslöppuð	a f s t l œ h p ʏ ð
afsprengi	a f s p r ei ɲ c ɪ
afstaðan	a f s t a ð a n
afstaðin	a f s t a ð ɪ n
afstæður	a f s t ai ð ʏ r
afsíðis	a f s i ð ɪ s
afsökun	a f s œ k ʏ n
afsökunar	a f s œ k ʏ n a r
aftakan	a f tʰ a k a n
aftan	a f t a n
aftansöngur	a f t a n s œy ŋ k ʏ r
aftar	a f t a r
aftari	a f t a r ɪ
aftarlega	a f t a r l ɛ ɣ a
aftast	a f t a s t
aftasta	a f t a s t a
aftra	a f t r a
aftraði	a f t r a ð ɪ
aftur	a f t ʏ r
aftureldingar	a f t ʏ r ɛ l t i ŋ k a r
